Actividad de Consumo;Canal;CEDI;Código Cuenta Clave;Cuenta Clave;Cliente;Código Cliente;Código CUIT;Código Domicilio;Código Número;Código Postal;Código Territorio;Jefe Desarrollador;Latitud;Longitud;Lista de Precios;Outnum;Pack-Local;Sub-Canal;Tamaño de Cliente;Territorio;Zona
GROCERY SHOPPING;SUPERMERCADO;Sucursal Posadas;004947;WAL*MART                     1;DORINKA S.R.L.;4000004028233;30678138300;AV CABO DE HORNOS;4130;33000;10;SERFATY GUSTAVO;-27,42551;-55,933552;970038;4028233;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Misiones;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Resistencia;001238;VEA                          1;CENCOSUD S A                 ;2000002016171;30590360763;AV. ALBERDI;508;35000;08;FARIAS JUAN(SELF);-27,455088;-58,991063;810031;2016171;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Chaco;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Resistencia;001534;LIBERTAD;LIBERTAD S A;2000002018417;30612929455;AV. SABIN RTA AVELLANEDA;0;35000;08;FARIAS JUAN(SELF);-27,413483;-58,967977;810037;2018417;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Chaco;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Resistencia;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;2000002012064;30687310434;AVDA.AVALOS;715;35000;08;FARIAS JUAN(SELF);-27,439181;-58,987545;810036;2012064;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Chaco;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Resistencia;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;2000002019813;30687310434;AV. ESTADO DE ISRAEL;700;35000;08;FARIAS JUAN(SELF);-27,437536;-59,014332;810036;2019813;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Chaco;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal Sáenz Peña;004947;WAL*MART                     1;DORINKA S.R.L.;8200002014118;30678138300;J.MANUEL DE ROSAS;3499;37000;08;MARCELO ALVAREZ;0;0;820038;2014118;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Chaco;Argentina Este
GROCERY SHOPPING;SUPERMERCADO;Sucursal San Pedro;004947;WAL*MART                     1;DORINKA S.R.L.;2300002211213;30678138300;AV 9 DE JULIO -SAN GABRIE;;45000;02;GONZALEZ, OSCAR RAUL;0;0;230038;2211213;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal San Pedro;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;2300002135338;30578411174;ALBERDI 52;;45000;02;GONZALEZ, OSCAR RAUL;0;0;230035;2135338;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal San Pedro;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;2300002210458;30578411174;MITRE 436;;45000;02;GONZALEZ, OSCAR RAUL;0;0;230035;2210458;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Sucursal Tartagal;004947;WAL*MART                     1;DORINKA S.R.L.;2600002156444;30678138300;RUTA 34 ENTRE PARAGUAY Y;;45600;02;SORUCO, SERGIO EDUARDO;0;0;260038;2156444;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Jujuy;Argentina Norte
